,vacancy,salary,min_salary,max_salary,cur_salary,link,site
13,Старший системный аналитик,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/starshij-sistemnyj-analitik-33733342.html,SJ
14,Менеджер по продажам облачных услуг,от 60 000 руб.,от 60 000 руб.,н/у,н/у,https://superjob.ru/vakansii/menedzher-po-prodazham-oblachnyh-uslug-31907639.html,SJ
15,Руководитель группы разработки ПО (Team lead),По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/rukovoditel-gruppy-razrabotki-po-32626062.html,SJ
16,HTML-верстальщик (middle),60 000 — 70 000 руб.,60 000 , 70 000 руб.,н/у,https://superjob.ru/vakansii/html-verstalschik-33920205.html,SJ
17,Инженер сети передачи данных,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/inzhener-seti-peredachi-dannyh-33838909.html,SJ
18,Аналитик по товародвижению,50 000 руб.,50 000 руб.,50 000 руб.,н/у,https://superjob.ru/vakansii/analitik-po-tovarodvizheniyu-33860243.html,SJ
19,Инженер по ремонту оборудования,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/inzhener-po-remontu-oborudovaniya-32518469.html,SJ
20,Заместитель директора по ИТ / Учитель информационных технологий,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/zamestitel-direktora-po-it-31369732.html,SJ
21,IT-директор,от 80 000 руб.,от 80 000 руб.,н/у,н/у,https://superjob.ru/vakansii/it-direktor-33808183.html,SJ
22,Бизнес-аналитик (IT),По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/biznes-analitik-33904361.html,SJ
23,"IT-специалист, программист 1С",По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/it-specialist-33915574.html,SJ
24,"Директор ИТ, Руководитель ИТ отдела, подразделения, службы",от 60 000 руб.,от 60 000 руб.,н/у,н/у,https://superjob.ru/vakansii/direktor-it-33915771.html,SJ
25,Руководитель IT-проектов,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/rukovoditel-it-proektov-33834616.html,SJ
26,Заместитель директора по IT,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/zamestitel-direktora-po-it-32617521.html,SJ
27,"Помощник системного администратора, IT-специалист",32 500 руб.,32 500 руб.,32 500 руб.,н/у,https://superjob.ru/vakansii/pomoschnik-sistemnogo-administratora-33883234.html,SJ
28,Инженер по IT,25 000 — 30 000 руб.,25 000 , 30 000 руб.,н/у,https://superjob.ru/vakansii/inzhener-po-it-33911493.html,SJ
29,"IT-специалист, системный администратор",По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/it-specialist-33206981.html,SJ
