,vacancy,salary,min_salary,max_salary,cur_salary,link,site
103,Старший методолог по анализу данных (Senior Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37073502?query=Data%20scientist,HH
104,Руководитель направления дата аналитики/data science,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37088953?query=Data%20scientist,HH
105,Data scientist (Центр по исследованию данных),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36360280?query=Data%20scientist,HH
106,Senior Data Scientist (УТФ),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37021862?query=Data%20scientist,HH
107,Senior Data Scientist (Дивизион ЦКР),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36940290?query=Data%20scientist,HH
108,Data Science Specialist (NLP),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35849387?query=Data%20scientist,HH
109,Генетик – аналитик данных (data scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37073561?query=Data%20scientist,HH
110,Менеджер по исследованию больших данных (Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36749314?query=Data%20scientist,HH
111,Data Scientist в Корпоративно-Инвестиционный Блок Банка,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36550195?query=Data%20scientist,HH
112,Middle Data Scientist (Цифровой кредитный мониторинг),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36766431?query=Data%20scientist,HH
113,Data scientist (Центр валидации моделей банковской и торговой книги),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36059028?query=Data%20scientist,HH
114,IT Recruiter,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36529313?query=Data%20scientist,HH
115,Senior Data Engineer (Spark),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37081269?query=Data%20scientist,HH
116,Руководитель направления по исследованию данных(Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/34777225?query=Data%20scientist,HH
117,Middle Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37064295?query=Data%20scientist,HH
118,Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36918846?query=Data%20scientist,HH
119,Data scientist (Центр валидации моделей розничного бизнеса),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36614923?query=Data%20scientist,HH
120,Data Scientist (разработка скоринговых моделей),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37052134?query=Data%20scientist,HH
121,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36915671?query=Data%20scientist,HH
122,Lead Data Scientist (RecSys) at Sberbank Corporate,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36550187?query=Data%20scientist,HH
123,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37048550?query=Data%20scientist,HH
124,Data scientist/ Директор в управлении розничного моделирования,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35518953?query=Data%20scientist,HH
125,Frontend Vue Developer,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37080498?query=Data%20scientist,HH
126,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37049593?query=Data%20scientist,HH
